28.626971, -106.064936
28.630926, -106.068015
28.630493, -106.074452
28.630493, -106.074452
28.634423, -106.075005
28.636080, -106.075633
28.637135, -106.070365
28.637521, -106.066234
28.632996, -106.069099
28.637582, -106.059840
28.640219, -106.061696
----------------------
28.650947, -106.086358
28.654647, -106.098364
28.659280, -106.088041
28.661088, -106.091067
28.662331, -106.095155
28.664148, -106.093589
28.666003, -106.096132
28.666078, -106.099040
28.665202, -106.101540
28.665371, -106.103804
28.664900, -106.105167
28.664316, -106.106723
28.665740, -106.098737
28.667811, -106.097042
28.670193, -106.094006
28.672283, -106.091968
28.674006, -106.092719
28.674552, -106.095905
28.674383, -106.099682
28.673912, -106.104102
28.675637, -106.095365
28.677388, -106.094163
28.679299, -106.095493
28.681332, -106.097639
28.689342, -106.084584
28.705635, -106.095981
28.712293, -106.094518
28.719956, -106.101585
28.726823, -106.094745
28.727606, -106.105479
28.729394, -106.117865
28.733374, -106.122521
28.734324, -106.129130
28.735133, -106.133121
28.733298, -106.141382
28.734239, -106.151778
28.734653, -106.164803
28.754844, -106.127086
28.589848, -106.013926
28.577669, -106.031694
28.580208, -106.046316
28.588198, -106.041794
28.594280, -106.042847
28.606503, -106.043187
28.611467, -106.039368
28.616300, -106.055374
28.617088, -106.077573
28.617415, -106.088980
